idCompania,nombre,ubicacionC
c0dd169aa4594f,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),181f8078bac34e
c690a5ddcbbc4f,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),94bed7e7cb9744
bda68638cb0c48,TERMOELECTRICA EL TESORITO S.A.S E.S.P (CLS-CO10),89f810ebd32c46
0331207a20a049,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),67e36850f4fc46
719e3397b5594f,ENERBIT S.A.S. E.S.P. (CLS-CO11),c7e3de47e61e4c
433dc6eb0f2847,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),47a24fa7750e43
b08597b573c34f,TERMOELECTRICA EL TESORITO S.A.S E.S.P (CLS-CO10),b61657a0a9564e
3b996057eaa047,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),70f5738781994d
0cda69813f594a,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),8ab11c55a19e4e
d02bb038076848,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),f8c085380f2744
c476253f32144f,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),aed4cd374e534d
e4817590dd7349,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),715ff401bc434a
10e5320a37f54c,TERMOELECTRICA EL TESORITO S.A.S E.S.P (CLS-CO10),1049067df26942
4dcc8e0982e843,ZFC S.A. E.S.P. (CLS-CO02),e57602722c9f49
7645e49cccfb42,ZFC S.A. E.S.P. (CLS-CO02),cc7840dab2c042
1fe2a8971a934d,CELSIA MOVE (CLS-CO99),65ffd2b3f26147
0b08e5a2092142,CELSIA MOVE (CLS-CO99),ba5fcee8f2e541
37570e04f6cb41,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),8a7e23e6396142
64f6238a674a43,TERMOELECTRICA EL TESORITO S.A.S E.S.P (CLS-CO10),7343c676946148
73a827679c5043,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),83ad0cdeba064b
44f2bdfe74e541,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),062c390ad53b40
